sampleID,Group,dataset
SAMEA7045018,0,MultiDisease
SAMEA7045020,0,MultiDisease
SAMEA7045022,0,MultiDisease
SAMEA7045023,0,MultiDisease
SAMEA7045025,0,MultiDisease
SAMEA7045026,0,MultiDisease
SAMEA7045027,0,MultiDisease
SAMEA7045028,0,MultiDisease
SAMEA7045029,0,MultiDisease
SAMEA7045031,0,MultiDisease
SAMEA7045034,0,MultiDisease
SAMEA7045035,0,MultiDisease
SAMEA7045038,0,MultiDisease
SAMEA7045039,0,MultiDisease
SAMEA7045040,0,MultiDisease
SAMEA7045044,0,MultiDisease
SAMEA7045045,0,MultiDisease
SAMEA7045047,0,MultiDisease
SAMEA7045048,0,MultiDisease
SAMEA7045051,0,MultiDisease
SAMEA7045052,0,MultiDisease
SAMEA7045053,0,MultiDisease
SAMEA7045055,0,MultiDisease
SAMEA7045056,0,MultiDisease
SAMEA7045059,0,MultiDisease
SAMEA7045060,0,MultiDisease
SAMEA7045061,0,MultiDisease
SAMEA7045062,0,MultiDisease
SAMEA7045063,0,MultiDisease
SAMEA7045064,0,MultiDisease
SAMEA7045066,0,MultiDisease
SAMEA7045068,0,MultiDisease
SAMEA7045069,0,MultiDisease
SAMEA7045070,0,MultiDisease
SAMEA7045072,0,MultiDisease
SAMEA7045075,0,MultiDisease
SAMEA7045076,0,MultiDisease
SAMEA7045077,0,MultiDisease
SAMEA7045081,0,MultiDisease
SAMEA7045082,0,MultiDisease
SAMEA7045083,0,MultiDisease
SAMEA7045085,0,MultiDisease
SAMEA7045087,0,MultiDisease
SAMEA7045094,0,MultiDisease
SAMEA7045095,0,MultiDisease
SAMEA7045099,0,MultiDisease
SAMEA7045103,0,MultiDisease
SAMEA7045106,0,MultiDisease
SAMEA7045108,0,MultiDisease
SAMEA7045112,0,MultiDisease
SAMEA7045113,0,MultiDisease
SAMEA7045114,0,MultiDisease
SAMEA7045115,0,MultiDisease
SAMEA7045116,0,MultiDisease
SAMEA7045118,0,MultiDisease
SAMEA7045121,0,MultiDisease
SAMEA7045122,0,MultiDisease
SAMEA7045124,0,MultiDisease
SAMEA7045125,0,MultiDisease
SAMEA7045126,0,MultiDisease
SAMEA7045127,0,MultiDisease
SAMEA7045128,0,MultiDisease
SAMEA7045130,0,MultiDisease
SAMEA7045133,0,MultiDisease
SAMEA7045135,0,MultiDisease
SAMEA7045138,0,MultiDisease
SAMEA7045139,0,MultiDisease
SAMEA7045141,0,MultiDisease
SAMEA7045144,0,MultiDisease
SAMEA7045145,0,MultiDisease
SAMEA7045146,0,MultiDisease
SAMEA7045147,0,MultiDisease
SAMEA7045149,0,MultiDisease
SAMEA7045150,0,MultiDisease
SAMEA7045152,0,MultiDisease
SAMEA7045153,0,MultiDisease
SAMEA7045155,0,MultiDisease
SAMEA7045160,0,MultiDisease
SAMEA7045161,0,MultiDisease
SAMEA7045162,0,MultiDisease
SAMEA7045163,0,MultiDisease
SAMEA7045166,0,MultiDisease
SAMEA7045170,0,MultiDisease
SAMEA7045171,0,MultiDisease
SAMEA7045172,0,MultiDisease
SAMEA7045175,0,MultiDisease
SAMEA7045176,0,MultiDisease
SAMEA7045177,0,MultiDisease
SAMEA7045178,0,MultiDisease
SAMEA7045179,0,MultiDisease
SAMEA7045180,0,MultiDisease
SAMEA7045181,0,MultiDisease
SAMEA7045184,0,MultiDisease
SAMEA7045185,0,MultiDisease
SAMEA7045186,0,MultiDisease
SAMEA7045188,0,MultiDisease
SAMEA7045192,0,MultiDisease
SAMEA7045193,0,MultiDisease
SAMEA7045195,0,MultiDisease
SAMEA7045202,0,MultiDisease
SAMEA7045204,0,MultiDisease
SAMEA7045206,0,MultiDisease
SAMEA7045208,0,MultiDisease
SAMEA7045209,0,MultiDisease
SAMEA7045212,0,MultiDisease
SAMEA7045213,0,MultiDisease
SAMEA7045218,0,MultiDisease
SAMEA7045219,0,MultiDisease
SAMEA7045222,0,MultiDisease
SAMEA7045223,0,MultiDisease
SAMEA7045224,0,MultiDisease
SAMEA7045225,0,MultiDisease
SAMEA7045226,0,MultiDisease
SAMEA7045228,0,MultiDisease
SAMEA7045229,0,MultiDisease
SAMEA7045230,0,MultiDisease
SAMEA7045234,0,MultiDisease
SAMEA7045236,0,MultiDisease
SAMEA7045238,0,MultiDisease
SAMEA7045239,0,MultiDisease
SAMEA7045244,0,MultiDisease
SAMEA7045245,0,MultiDisease
SAMEA7045246,0,MultiDisease
SAMEA7045248,0,MultiDisease
SAMEA7045249,0,MultiDisease
SAMEA7045250,0,MultiDisease
SAMEA7045252,0,MultiDisease
SAMEA7045253,0,MultiDisease
SAMEA7045254,0,MultiDisease
SAMEA7045255,0,MultiDisease
SAMEA7045261,0,MultiDisease
SAMEA7045262,0,MultiDisease
SAMEA7045264,0,MultiDisease
SAMEA7045266,0,MultiDisease
SAMEA7045267,0,MultiDisease
SAMEA7045268,0,MultiDisease
SAMEA7045269,0,MultiDisease
SAMEA7045272,0,MultiDisease
SAMEA7045274,0,MultiDisease
SAMEA7045275,0,MultiDisease
SAMEA7045278,0,MultiDisease
SAMEA7045280,0,MultiDisease
SAMEA7045284,0,MultiDisease
SAMEA7045285,0,MultiDisease
SAMEA7045287,0,MultiDisease
SAMEA7045288,0,MultiDisease
SAMEA7045291,0,MultiDisease
SAMEA7045292,0,MultiDisease
SAMEA7045293,0,MultiDisease
SAMEA7045295,0,MultiDisease
SAMEA7045296,0,MultiDisease
SAMEA7045298,0,MultiDisease
SAMEA7045299,0,MultiDisease
SAMEA7045300,0,MultiDisease
SAMEA7045302,0,MultiDisease
SAMEA7045303,0,MultiDisease
SAMEA7045304,0,MultiDisease
SAMEA7045307,0,MultiDisease
SAMEA7045308,0,MultiDisease
SAMEA7045310,0,MultiDisease
SAMEA7045312,0,MultiDisease
SAMEA7045314,0,MultiDisease
SAMEA7045315,0,MultiDisease
SAMEA7045316,0,MultiDisease
SAMEA7045317,0,MultiDisease
SAMEA7045318,0,MultiDisease
SAMEA7045321,0,MultiDisease
SAMEA7045330,0,MultiDisease
SAMEA7045331,0,MultiDisease
SAMEA7045336,0,MultiDisease
SAMEA7045337,0,MultiDisease
SAMEA7045339,0,MultiDisease
SAMEA7045340,0,MultiDisease
SAMEA7045341,0,MultiDisease
SAMEA7045342,0,MultiDisease
SAMEA7045343,0,MultiDisease
SAMEA7045344,0,MultiDisease
SAMEA7045346,0,MultiDisease
SAMEA7045347,0,MultiDisease
SAMEA7045348,0,MultiDisease
SAMEA7045349,0,MultiDisease
SAMEA7045350,0,MultiDisease
SAMEA7045354,0,MultiDisease
SAMEA7045355,0,MultiDisease
SAMEA7045356,0,MultiDisease
SAMEA7045358,0,MultiDisease
SAMEA7045360,0,MultiDisease
SAMEA7045361,0,MultiDisease
SAMEA7045364,0,MultiDisease
SAMEA7045370,0,MultiDisease
SAMEA7045372,0,MultiDisease
SAMEA7045374,0,MultiDisease
SAMEA7045377,0,MultiDisease
SAMEA7045383,0,MultiDisease
SAMEA7045384,0,MultiDisease
SAMEA7045389,0,MultiDisease
SAMEA7045390,0,MultiDisease
SAMEA7045392,0,MultiDisease
SAMEA7045394,0,MultiDisease
SAMEA7045395,0,MultiDisease
SAMEA7045397,0,MultiDisease
SAMEA7045398,0,MultiDisease
SAMEA7045400,0,MultiDisease
SAMEA7045404,0,MultiDisease
SAMEA7045408,0,MultiDisease
SAMEA7045409,0,MultiDisease
SAMEA7045410,0,MultiDisease
SAMEA7045412,0,MultiDisease
SAMEA7045414,0,MultiDisease
SAMEA7045415,0,MultiDisease
SAMEA7045417,0,MultiDisease
SAMEA7045418,0,MultiDisease
SAMEA7045423,0,MultiDisease
SAMEA7045425,0,MultiDisease
SAMEA7045426,0,MultiDisease
SAMEA7045427,0,MultiDisease
SAMEA7045429,0,MultiDisease
SAMEA7045433,0,MultiDisease
SAMEA7045434,0,MultiDisease
SAMEA7045438,0,MultiDisease
SAMEA7045442,0,MultiDisease
SAMEA7045445,0,MultiDisease
SAMEA7045447,0,MultiDisease
SAMEA7045448,0,MultiDisease
SAMEA7045451,0,MultiDisease
SAMEA7045452,0,MultiDisease
SAMEA7045453,0,MultiDisease
SAMEA7045454,0,MultiDisease
SAMEA7045458,0,MultiDisease
SAMEA7045460,0,MultiDisease
SAMEA7045462,0,MultiDisease
SAMEA7045464,0,MultiDisease
SAMEA7045467,0,MultiDisease
SAMEA7045469,0,MultiDisease
SAMEA7045470,0,MultiDisease
SAMEA7045471,0,MultiDisease
SAMEA7045474,0,MultiDisease
SAMEA7045475,0,MultiDisease
SAMEA7045476,0,MultiDisease
SAMEA7045479,0,MultiDisease
SAMEA7045481,0,MultiDisease
SAMEA7045482,0,MultiDisease
SAMEA7045483,0,MultiDisease
SAMEA7045488,0,MultiDisease
SAMEA7045489,0,MultiDisease
SAMEA7045490,0,MultiDisease
SAMEA7045495,0,MultiDisease
SAMEA7045497,0,MultiDisease
SAMEA7045498,0,MultiDisease
SAMEA7045501,0,MultiDisease
SAMEA7045502,0,MultiDisease
SAMEA7045504,0,MultiDisease
SAMEA7045506,0,MultiDisease
SAMEA7045508,0,MultiDisease
SAMEA7045510,0,MultiDisease
SAMEA7045513,0,MultiDisease
SAMEA7045514,0,MultiDisease
SAMEA7045516,0,MultiDisease
SAMEA7045519,0,MultiDisease
SAMEA7045520,0,MultiDisease
SAMEA7045521,0,MultiDisease
SAMEA7045527,0,MultiDisease
SAMEA7045529,0,MultiDisease
SAMEA7045531,0,MultiDisease
SAMEA7045533,0,MultiDisease
SAMEA7045534,0,MultiDisease
SAMEA7045535,0,MultiDisease
SAMEA7045536,0,MultiDisease
SAMEA7045537,0,MultiDisease
SAMEA7045538,0,MultiDisease
SAMEA7045539,0,MultiDisease
SAMEA7045543,0,MultiDisease
SAMEA7045544,0,MultiDisease
SAMEA7045545,0,MultiDisease
SAMEA7045546,0,MultiDisease
SAMEA7045547,0,MultiDisease
SAMEA7045549,0,MultiDisease
SAMEA7045552,0,MultiDisease
SAMEA7045553,0,MultiDisease
SAMEA7045554,0,MultiDisease
SAMEA7045555,0,MultiDisease
SAMEA7045557,0,MultiDisease
SAMEA7045560,0,MultiDisease
SAMEA7045565,0,MultiDisease
SAMEA7045570,0,MultiDisease
SAMEA7045571,0,MultiDisease
SAMEA7045572,0,MultiDisease
SAMEA7045574,0,MultiDisease
SAMEA7045576,0,MultiDisease
SAMEA7045577,0,MultiDisease
SAMEA7045578,0,MultiDisease
SAMEA7045581,0,MultiDisease
SAMEA7045583,0,MultiDisease
SAMEA7045586,0,MultiDisease
SAMEA7045587,0,MultiDisease
SAMEA7045592,0,MultiDisease
SAMEA7045593,0,MultiDisease
SAMEA7045594,0,MultiDisease
SAMEA7045595,0,MultiDisease
SAMEA7045596,0,MultiDisease
SAMEA7045597,0,MultiDisease
SAMEA7045599,0,MultiDisease
SAMEA7045601,0,MultiDisease
SAMEA7045603,0,MultiDisease
SAMEA7045605,0,MultiDisease
SAMEA7045607,0,MultiDisease
SAMEA7045608,0,MultiDisease
SAMEA7045609,0,MultiDisease
SAMEA7045612,0,MultiDisease
SAMEA7045613,0,MultiDisease
SAMEA7045614,0,MultiDisease
SAMEA7045618,0,MultiDisease
SAMEA7045620,0,MultiDisease
SAMEA7045621,0,MultiDisease
SAMEA7045622,0,MultiDisease
SAMEA7045623,0,MultiDisease
SAMEA7045624,0,MultiDisease
SAMEA7045625,0,MultiDisease
SAMEA7045627,0,MultiDisease
SAMEA7045629,0,MultiDisease
SAMEA7045632,0,MultiDisease
SAMEA7045634,0,MultiDisease
SAMEA7045635,0,MultiDisease
SAMEA7045637,0,MultiDisease
SAMEA7045638,0,MultiDisease
SAMEA7045639,0,MultiDisease
SAMEA7045641,0,MultiDisease
SAMEA7045642,0,MultiDisease
SAMEA7045644,0,MultiDisease
SAMEA7045645,0,MultiDisease
SAMEA7045647,0,MultiDisease
SAMEA7045649,0,MultiDisease
SAMEA7045650,0,MultiDisease
SAMEA7045654,0,MultiDisease
SAMEA7045656,0,MultiDisease
SAMEA7045659,0,MultiDisease
SAMEA7045663,0,MultiDisease
SAMEA7045664,0,MultiDisease
SAMEA7045666,0,MultiDisease
SAMEA7045667,0,MultiDisease
SAMEA7045669,0,MultiDisease
SAMEA7045671,0,MultiDisease
SAMEA7045672,0,MultiDisease
SAMEA7045674,0,MultiDisease
SAMEA7045675,0,MultiDisease
SAMEA7045676,0,MultiDisease
SAMEA7045680,0,MultiDisease
SAMEA7045683,0,MultiDisease
SAMEA7045684,0,MultiDisease
SAMEA7045686,0,MultiDisease
SAMEA7045688,0,MultiDisease
SAMEA7045691,0,MultiDisease
SAMEA7045692,0,MultiDisease
SAMEA7045693,0,MultiDisease
SAMEA7045694,0,MultiDisease
SAMEA7045695,0,MultiDisease
SAMEA7045696,0,MultiDisease
SAMEA7045698,0,MultiDisease
SAMEA7045699,0,MultiDisease
SAMEA7045700,0,MultiDisease
SAMEA7045701,0,MultiDisease
SAMEA7045702,0,MultiDisease
SAMEA7045704,0,MultiDisease
SAMEA7045705,0,MultiDisease
SAMEA7045708,0,MultiDisease
SAMEA7045710,0,MultiDisease
SAMEA7045711,0,MultiDisease
SAMEA7045712,0,MultiDisease
SAMEA7045713,0,MultiDisease
SAMEA7045714,0,MultiDisease
SAMEA7045717,0,MultiDisease
SAMEA7045718,0,MultiDisease
SAMEA7045721,0,MultiDisease
SAMEA7045722,0,MultiDisease
SAMEA7045723,0,MultiDisease
SAMEA7045724,0,MultiDisease
SAMEA7045728,0,MultiDisease
SAMEA7045729,0,MultiDisease
SAMEA7045731,0,MultiDisease
SAMEA7045733,0,MultiDisease
SAMEA7045737,0,MultiDisease
SAMEA7045738,0,MultiDisease
SAMEA7045739,0,MultiDisease
SAMEA7045740,0,MultiDisease
SAMEA7045741,0,MultiDisease
SAMEA7045742,0,MultiDisease
SAMEA7045744,0,MultiDisease
SAMEA7045746,0,MultiDisease
SAMEA7045748,0,MultiDisease
SAMEA7045749,0,MultiDisease
SAMEA7045751,0,MultiDisease
SAMEA7045753,0,MultiDisease
SAMEA7045759,0,MultiDisease
SAMEA7045760,0,MultiDisease
SAMEA7045762,0,MultiDisease
SAMEA7045767,0,MultiDisease
SAMEA7045770,0,MultiDisease
SAMEA7045775,0,MultiDisease
SAMEA7045776,0,MultiDisease
SAMEA7045777,0,MultiDisease
SAMEA7045780,0,MultiDisease
SAMEA7045781,0,MultiDisease
SAMEA7045782,0,MultiDisease
SAMEA7045783,0,MultiDisease
SAMEA7045784,0,MultiDisease
SAMEA7045786,0,MultiDisease
SAMEA7045787,0,MultiDisease
SAMEA7045792,0,MultiDisease
SAMEA7045795,0,MultiDisease
SAMEA7045798,0,MultiDisease
SAMEA7045802,0,MultiDisease
SAMEA7045803,0,MultiDisease
SAMEA7045804,0,MultiDisease
SAMEA7045811,0,MultiDisease
SAMEA7045812,0,MultiDisease
SAMEA7045814,0,MultiDisease
SAMEA7045815,0,MultiDisease
SAMEA7045816,0,MultiDisease
SAMEA7045818,0,MultiDisease
SAMEA7045819,0,MultiDisease
SAMEA7045820,0,MultiDisease
SAMEA7045821,0,MultiDisease
SAMEA7045822,0,MultiDisease
SAMEA7045823,0,MultiDisease
SAMEA7045824,0,MultiDisease
SAMEA7045826,0,MultiDisease
SAMEA7045832,0,MultiDisease
SAMEA7045833,0,MultiDisease
SAMEA7045834,0,MultiDisease
SAMEA7045836,0,MultiDisease
SAMEA7045837,0,MultiDisease
SAMEA7045838,0,MultiDisease
SAMEA7045840,0,MultiDisease
SAMEA7045843,0,MultiDisease
SAMEA7045845,0,MultiDisease
SAMEA7045846,0,MultiDisease
SAMEA7045849,0,MultiDisease
SAMEA7045852,0,MultiDisease
SAMEA7045853,0,MultiDisease
SAMEA7045854,0,MultiDisease
SAMEA7045860,0,MultiDisease
SAMEA7045861,0,MultiDisease
SAMEA7045863,0,MultiDisease
SAMEA7045864,0,MultiDisease
SAMEA7045865,0,MultiDisease
SAMEA7045866,0,MultiDisease
SAMEA7045867,0,MultiDisease
SAMEA7045868,0,MultiDisease
SAMEA7045869,0,MultiDisease
SAMEA7045871,0,MultiDisease
SAMEA7045872,0,MultiDisease
SAMEA7045873,0,MultiDisease
SAMEA7045874,0,MultiDisease
SAMEA7045875,0,MultiDisease
SAMEA7045876,0,MultiDisease
SAMEA7045880,0,MultiDisease
SAMEA7045883,0,MultiDisease
SAMEA7045884,0,MultiDisease
SAMEA7045886,0,MultiDisease
SAMEA7045887,0,MultiDisease
SAMEA7045889,0,MultiDisease
SAMEA7045890,0,MultiDisease
SAMEA7045892,0,MultiDisease
SAMEA7045896,0,MultiDisease
SAMEA7045899,0,MultiDisease
SAMEA7045900,0,MultiDisease
SAMEA7045902,0,MultiDisease
SAMEA7045903,0,MultiDisease
SAMEA7045904,0,MultiDisease
SAMEA7045905,0,MultiDisease
SAMEA7045906,0,MultiDisease
SAMEA7045907,0,MultiDisease
SAMEA7045909,0,MultiDisease
SAMEA7045913,0,MultiDisease
SAMEA7045915,0,MultiDisease
SAMEA7045917,0,MultiDisease
SAMEA7045919,0,MultiDisease
SAMEA7045921,0,MultiDisease
SAMEA7045922,0,MultiDisease
SAMEA7045923,0,MultiDisease
SAMEA7045924,0,MultiDisease
SAMEA7045927,0,MultiDisease
SAMEA7045928,0,MultiDisease
SAMEA7045929,0,MultiDisease
SAMEA7045931,0,MultiDisease
SAMEA7045932,0,MultiDisease
SAMEA7045934,0,MultiDisease
SAMEA7045935,0,MultiDisease
SAMEA7045936,0,MultiDisease
SAMEA7045938,0,MultiDisease
SAMEA7045940,0,MultiDisease
SAMEA7045941,0,MultiDisease
SAMEA7045942,0,MultiDisease
SAMEA7045943,0,MultiDisease
SAMEA7045945,0,MultiDisease
SAMEA7045948,0,MultiDisease
SAMEA7045952,0,MultiDisease
SAMEA7045953,0,MultiDisease
SID10_B,0,MultiDisease
SID10_M,0,MultiDisease
SID45_M,0,MultiDisease
SID82_M,0,MultiDisease
SID137_M,0,MultiDisease
SID582_M,0,MultiDisease
SID150_B,0,MultiDisease
SID150_M,0,MultiDisease
SID172_B,0,MultiDisease
SID263_M,0,MultiDisease
SID272_M,0,MultiDisease
SID179_M,0,MultiDisease
SID350_4M,0,MultiDisease
SID350_M,0,MultiDisease
SID42_B,0,MultiDisease
SID42_M,0,MultiDisease
SID572_B,0,MultiDisease
SID572_M,0,MultiDisease
SID587_B,0,MultiDisease
SID587_M,0,MultiDisease
SID589_M,0,MultiDisease
SID598_B,0,MultiDisease
SID599_B,0,MultiDisease
SID608_M,0,MultiDisease
SID70_M,0,MultiDisease
SID87_B,0,MultiDisease
SID87_M,0,MultiDisease
SID1_B,0,MultiDisease
SID1_M,0,MultiDisease
SID105_B,0,MultiDisease
SID128_B,0,MultiDisease
SID133_B,0,MultiDisease
SID181_M,0,MultiDisease
SID184_B,0,MultiDisease
SID195_B,0,MultiDisease
SID201_B,0,MultiDisease
SID201_M,0,MultiDisease
SID224_B,0,MultiDisease
SID229_B,0,MultiDisease
SID238_M,0,MultiDisease
SID244_M,0,MultiDisease
SID256_M,0,MultiDisease
SID258_M,0,MultiDisease
SID265_B,0,MultiDisease
SID268_B,0,MultiDisease
SID268_M,0,MultiDisease
SID274_B,0,MultiDisease
SID274_M,0,MultiDisease
SID276_M,0,MultiDisease
SID281_M,0,MultiDisease
SID335_M,0,MultiDisease
SID338_B,0,MultiDisease
SID341_M,0,MultiDisease
SID343_B,0,MultiDisease
SID367_M,0,MultiDisease
SID38_B,0,MultiDisease
SID38_M,0,MultiDisease
SID39_M,0,MultiDisease
SID397_B,0,MultiDisease
SID503_M,0,MultiDisease
SID507_B,0,MultiDisease
SID507_M,0,MultiDisease
SID521_M,0,MultiDisease
SID532_B,0,MultiDisease
SID532_M,0,MultiDisease
SID544_M,0,MultiDisease
SID546_M,0,MultiDisease
SID560_M,0,MultiDisease
SID565_M,0,MultiDisease
SID590_M,0,MultiDisease
SID591_B,0,MultiDisease
SID591_M,0,MultiDisease
SID624_M,0,MultiDisease
SID626_M,0,MultiDisease
SID78_B,0,MultiDisease
SID78_M,0,MultiDisease
SID130_M,0,MultiDisease
SID203_B,0,MultiDisease
SID203_M,0,MultiDisease
SID240_B,0,MultiDisease
SID240_M,0,MultiDisease
SID345_B,0,MultiDisease
SID345_M,0,MultiDisease
SID511_M,0,MultiDisease
SID622_B,0,MultiDisease
SID622_M,0,MultiDisease
SID9_B,0,MultiDisease
SID180_B,0,MultiDisease
SID26_M,0,MultiDisease
SID383_B,0,MultiDisease
SID385_M,0,MultiDisease
SID387_B,0,MultiDisease
SID504_B,0,MultiDisease
SID51_B,0,MultiDisease
SID51_M,0,MultiDisease
SID527_M,0,MultiDisease
SID536_B,0,MultiDisease
SID585_M,0,MultiDisease
SID633_B,0,MultiDisease
SID640_B,0,MultiDisease
SID640_M,0,MultiDisease
SID7_B,0,MultiDisease
SID7_M,0,MultiDisease
SID635_B,0,MultiDisease
SID637_M,0,MultiDisease
SID326_M,0,MultiDisease
SID566_12M,0,MultiDisease
SID282_M,0,MultiDisease
MMPD56131850ST,0,MultiDisease
MMPD45969642ST,0,MultiDisease
MMPD13674240ST,0,MultiDisease
MMPD34845324ST,0,MultiDisease
MMPD24188488ST,0,MultiDisease
MMPD15187820ST,0,MultiDisease
MMPD19359459ST,0,MultiDisease
MMPD91702294ST,0,MultiDisease
MMPD27744413ST,0,MultiDisease
MMPD94895988ST,0,MultiDisease
MMPD69225512ST,0,MultiDisease
MMPD41403504ST,0,MultiDisease
MMPD89180418ST,0,MultiDisease
MMPD93172239ST,0,MultiDisease
MMPD50836218ST,0,MultiDisease
TRAVELRES13,0,MultiDisease
TRAVELRES37,0,MultiDisease
TRAVELRES57,0,MultiDisease
TRAVELRES63,0,MultiDisease
TRAVELRES65,0,MultiDisease
TRAVELRES47,0,MultiDisease
TRAVELRES70,0,MultiDisease
TRAVELRES21,0,MultiDisease
TRAVELRES27,0,MultiDisease
TRAVELRES5,0,MultiDisease
TRAVELRES19,0,MultiDisease
TRAVELRES25,0,MultiDisease
TRAVELRES45,0,MultiDisease
TRAVELRES55,0,MultiDisease
TRAVELRES7,0,MultiDisease
TRAVELRES15,0,MultiDisease
TRAVELRES29,0,MultiDisease
TRAVELRES9,0,MultiDisease
TRAVELRES53,0,MultiDisease
TRAVELRES49,0,MultiDisease
TRAVELRES51,0,MultiDisease
M1.16.ST,0,MultiDisease
M1.22.ST,0,MultiDisease
M1.23.ST,0,MultiDisease
M1.26.ST,0,MultiDisease
M1.29.ST,0,MultiDisease
M1.38.ST,0,MultiDisease
M1.4.ST,0,MultiDisease
M1.44.ST,0,MultiDisease
M1.5.ST,0,MultiDisease
M1.52.ST,0,MultiDisease
M1.59.ST,0,MultiDisease
M1.6.ST,0,MultiDisease
M1.62.ST,0,MultiDisease
M1.64.ST,0,MultiDisease
M1.7.ST,0,MultiDisease
M2.36.ST,0,MultiDisease
M2.38.ST,0,MultiDisease
M2.39.ST,0,MultiDisease
M2.40.ST,0,MultiDisease
M2.41.ST,0,MultiDisease
M2.44.ST,0,MultiDisease
M2.46.ST,0,MultiDisease
M2.5.ST,0,MultiDisease
M2.50.ST,0,MultiDisease
M2.51.ST,0,MultiDisease
M2.52.ST,0,MultiDisease
M2.56.ST,0,MultiDisease
M2.58.ST,0,MultiDisease
M2.60.ST,0,MultiDisease
M2.63.ST,0,MultiDisease
W1.11.ST,0,MultiDisease
W1.13.ST,0,MultiDisease
W1.14.ST,0,MultiDisease
W1.15.ST,0,MultiDisease
W1.18.ST,0,MultiDisease
W1.20.ST,0,MultiDisease
W1.27.ST,0,MultiDisease
W1.31.ST,0,MultiDisease
W1.33.ST,0,MultiDisease
W1.36.ST,0,MultiDisease
W1.37.ST,0,MultiDisease
W1.40.ST,0,MultiDisease
W1.41.ST,0,MultiDisease
W1.42.ST,0,MultiDisease
W1.44.ST,0,MultiDisease
W1.5.ST,0,MultiDisease
W1.51.ST,0,MultiDisease
W1.53.ST,0,MultiDisease
W1.54.ST,0,MultiDisease
W1.55.ST,0,MultiDisease
W1.6.ST,0,MultiDisease
W2.11.ST,0,MultiDisease
W2.15.ST,0,MultiDisease
W2.17.ST,0,MultiDisease
W2.25.ST,0,MultiDisease
W2.33.ST,0,MultiDisease
W2.34.ST,0,MultiDisease
W2.36.ST,0,MultiDisease
W2.39.ST,0,MultiDisease
W2.4.ST,0,MultiDisease
W2.41.ST,0,MultiDisease
W2.46.ST,0,MultiDisease
W2.47.ST,0,MultiDisease
W2.48.ST,0,MultiDisease
W2.49.ST,0,MultiDisease
W2.52.ST,0,MultiDisease
